StateVec,Action,Reward,SLAMet,CPUCost,Source
"[88.86, 1.11075]",0.0,1,YES,88.86,FCFS
"[151.38, 0.946125]",2.0,0,NO,151.38,FCFS
"[88.31, 1.103875]",0.0,1,YES,88.31,XGBoost
"[83.12, 1.039]",0.0,1,YES,83.12,XGBoost
"[198.56, 1.241]",2.0,0,NO,198.56,RoundRobin
"[182.9, 1.143125]",2.0,1,YES,182.9,XGBoost
"[142.06, 0.887875]",2.0,0,NO,142.06,FCFS
"[177.56, 1.10975]",2.0,0,NO,177.56,RoundRobin
"[190.32, 1.1895]",2.0,0,NO,190.32,RoundRobin
"[87.47, 1.093375]",0.0,1,YES,87.47,RoundRobin
"[79, 8786, 6, 4, 2]",0.0,1,YES,5.18,Original
"[75.62, 0.94525]",0.0,1,YES,75.62,FCFS
"[84.02, 1.05025]",0.0,1,YES,84.02,RoundRobin
"[185.56, 1.15975]",2.0,0,NO,185.56,FCFS
"[92.81, 1.160125]",0.0,1,YES,92.81,XGBoost
"[95.47, 1.193375]",0.0,1,YES,95.47,FCFS
"[88.52, 1.1065]",0.0,1,YES,88.52,XGBoost
"[125.055, 1.042125]",1.0,0,NO,125.055,FCFS
"[146.745, 1.222875]",1.0,0,NO,146.745,RoundRobin
"[86.99, 1.087375]",0.0,1,YES,86.99,XGBoost
"[90.48, 1.131]",0.0,1,YES,90.48,FCFS
"[71.64, 0.8955]",0.0,1,YES,71.64,XGBoost
"[136.59, 1.13825]",1.0,0,NO,136.59,FCFS
"[187.8, 1.17375]",2.0,0,NO,187.8,RoundRobin
"[143.97, 1.19975]",1.0,0,NO,143.97,RoundRobin
"[41, 1829, 5, 39, 3]",0.0,1,YES,8.24,Original
"[121.92, 1.016]",1.0,0,NO,121.92,FCFS
"[97.59, 1.219875]",0.0,1,YES,97.59,XGBoost
"[141.9, 0.886875]",2.0,0,NO,141.9,XGBoost
"[99.42, 1.24275]",0.0,1,YES,99.42,XGBoost
"[169.88, 1.06175]",2.0,0,NO,169.88,FCFS
"[95.75, 1.196875]",0.0,1,YES,95.75,XGBoost
"[83.48, 1.0435]",0.0,1,YES,83.48,XGBoost
"[114.84, 0.957]",1.0,0,NO,114.84,FCFS
"[157.02, 0.981375]",2.0,0,NO,157.02,RoundRobin
"[78.52, 0.9815]",0.0,1,YES,78.52,XGBoost
"[140.94, 0.880875]",2.0,0,NO,140.94,RoundRobin
"[175.8, 1.09875]",2.0,1,YES,175.8,XGBoost
"[107.55, 0.89625]",1.0,0,NO,107.55,FCFS
"[76.54, 0.95675]",0.0,1,YES,76.54,XGBoost
"[168.52, 1.05325]",2.0,0,NO,168.52,RoundRobin
"[85.48, 1.0685]",0.0,1,YES,85.48,FCFS
"[70, 9665, 68, 2, 3]",1.0,1,YES,2.5,Original
"[176.78, 1.104875]",2.0,0,NO,176.78,RoundRobin
"[87.47, 1.093375]",0.0,1,YES,87.47,RoundRobin
"[132.33, 1.10275]",1.0,0,NO,132.33,RoundRobin
"[122.805, 1.023375]",1.0,0,NO,122.805,FCFS
"[127.17, 1.05975]",1.0,0,NO,127.17,RoundRobin
"[81.54, 1.01925]",0.0,1,YES,81.54,XGBoost
"[128.475, 1.070625]",1.0,0,NO,128.475,FCFS
"[74.31, 0.928875]",0.0,1,YES,74.31,XGBoost
"[93.28, 1.166]",0.0,1,YES,93.28,FCFS
"[75.96, 0.9495]",0.0,1,YES,75.96,RoundRobin
"[75.19, 0.939875]",0.0,1,YES,75.19,XGBoost
"[142.28, 0.88925]",2.0,0,NO,142.28,FCFS
"[87.42, 1.09275]",0.0,1,YES,87.42,XGBoost
"[86.08, 1.076]",0.0,1,YES,86.08,XGBoost
"[163.76, 1.0235]",2.0,1,YES,163.76,XGBoost
"[79.28, 0.991]",0.0,1,YES,79.28,XGBoost
"[98.38, 1.22975]",0.0,1,YES,98.38,XGBoost
"[162.74, 1.017125]",2.0,0,NO,162.74,FCFS
"[86.8, 1.085]",0.0,1,YES,86.8,XGBoost
"[137.25, 1.14375]",1.0,0,NO,137.25,RoundRobin
"[160.62, 1.003875]",2.0,1,YES,160.62,XGBoost
"[70.88, 0.886]",0.0,1,YES,70.88,XGBoost
"[93.94, 1.17425]",0.0,1,YES,93.94,XGBoost
"[81.39, 1.017375]",0.0,1,YES,81.39,XGBoost
"[120.06, 1.0005]",1.0,0,NO,120.06,RoundRobin
"[79.3, 0.99125]",0.0,1,YES,79.3,XGBoost
"[129.825, 1.081875]",1.0,0,NO,129.825,RoundRobin
"[198.96, 1.2435]",2.0,1,YES,198.96,XGBoost
"[83.22, 1.04025]",0.0,1,YES,83.22,XGBoost
"[83, 12497, 95, 16, 2]",0.0,1,YES,7.76,Original
"[135.945, 1.132875]",1.0,0,NO,135.945,FCFS
"[181.66, 1.135375]",2.0,1,YES,181.66,XGBoost
"[80.98, 1.01225]",0.0,1,YES,80.98,RoundRobin
"[146.58, 0.916125]",2.0,0,NO,146.58,RoundRobin
"[180.6, 1.12875]",2.0,1,YES,180.6,XGBoost
"[182.8, 1.1425]",2.0,0,NO,182.8,RoundRobin
"[177.04, 1.1065]",2.0,0,NO,177.04,FCFS
"[73.14, 0.91425]",0.0,1,YES,73.14,RoundRobin
"[160.38, 1.002375]",2.0,1,YES,160.38,XGBoost
"[85.5, 1.06875]",0.0,1,YES,85.5,XGBoost
"[97.29, 1.216125]",0.0,1,YES,97.29,FCFS
"[149.325, 1.244375]",1.0,0,NO,149.325,FCFS
"[85.84, 1.073]",0.0,1,YES,85.84,RoundRobin
"[184.24, 1.1515]",2.0,0,NO,184.24,RoundRobin
"[111.12, 0.926]",1.0,0,NO,111.12,RoundRobin
"[113.535, 0.946125]",1.0,0,NO,113.535,FCFS
"[176.68, 1.10425]",2.0,0,NO,176.68,FCFS
"[94.51, 1.181375]",0.0,1,YES,94.51,FCFS
"[195.48, 1.22175]",2.0,0,NO,195.48,FCFS
"[144.81, 1.20675]",1.0,0,NO,144.81,FCFS
"[98.7, 1.23375]",0.0,1,YES,98.7,RoundRobin
"[99.63, 1.245375]",0.0,1,YES,99.63,XGBoost
"[72.26, 0.90325]",0.0,1,YES,72.26,XGBoost
"[119.985, 0.999875]",1.0,0,NO,119.985,FCFS
"[84.12, 1.0515]",0.0,1,YES,84.12,XGBoost
"[77.84, 0.973]",0.0,1,YES,77.84,XGBoost
"[93, 10968, 77, 30, 3]",0.0,1,YES,8.41,Original
"[84.68, 1.0585]",0.0,1,YES,84.68,XGBoost
"[137.88, 1.149]",1.0,0,NO,137.88,RoundRobin
"[149.055, 1.242125]",1.0,0,NO,149.055,RoundRobin
"[199.42, 1.246375]",2.0,0,NO,199.42,RoundRobin
"[117.57, 0.97975]",1.0,0,NO,117.57,FCFS
"[194.82, 1.217625]",2.0,0,NO,194.82,RoundRobin
"[75.9, 0.94875]",0.0,1,YES,75.9,FCFS
"[185.26, 1.157875]",2.0,0,NO,185.26,FCFS
"[87.87, 1.098375]",0.0,1,YES,87.87,XGBoost
"[148.665, 1.238875]",1.0,0,NO,148.665,RoundRobin
"[92.71, 1.158875]",0.0,1,YES,92.71,RoundRobin
"[89.44, 1.118]",0.0,1,YES,89.44,FCFS
"[147.3, 0.920625]",2.0,0,NO,147.3,RoundRobin
"[87.16, 1.0895]",0.0,1,YES,87.16,XGBoost
"[87.19, 1.089875]",0.0,1,YES,87.19,XGBoost
"[153.72, 0.96075]",2.0,0,NO,153.72,FCFS
"[147.42, 0.921375]",2.0,0,NO,147.42,FCFS
"[118.29, 0.98575]",1.0,0,NO,118.29,FCFS
"[93.81, 1.172625]",0.0,1,YES,93.81,FCFS
"[190.44, 1.19025]",2.0,0,NO,190.44,RoundRobin
"[178.24, 1.114]",2.0,1,YES,178.24,XGBoost
"[108.57, 0.90475]",1.0,0,NO,108.57,RoundRobin
"[148.3, 0.926875]",2.0,0,NO,148.3,XGBoost
"[177.82, 1.111375]",2.0,1,YES,177.82,XGBoost
"[120.135, 1.001125]",1.0,0,NO,120.135,RoundRobin
"[99.12, 1.239]",0.0,1,YES,99.12,XGBoost
"[83.09, 1.038625]",0.0,1,YES,83.09,RoundRobin
"[81.74, 1.02175]",0.0,1,YES,81.74,XGBoost
"[173.58, 1.084875]",2.0,0,NO,173.58,RoundRobin
"[178.96, 1.1185]",2.0,1,YES,178.96,XGBoost
"[77.28, 0.966]",0.0,1,YES,77.28,RoundRobin
"[78.73, 0.984125]",0.0,1,YES,78.73,RoundRobin
"[107.475, 0.895625]",1.0,0,NO,107.475,RoundRobin
"[94.01, 1.175125]",0.0,1,YES,94.01,FCFS
"[186.66, 1.166625]",2.0,0,NO,186.66,FCFS
"[133.995, 1.116625]",1.0,0,NO,133.995,RoundRobin
"[142.78, 0.892375]",2.0,0,NO,142.78,FCFS
"[94.43, 1.180375]",0.0,1,YES,94.43,FCFS
"[83.36, 1.042]",0.0,1,YES,83.36,XGBoost
"[151.0, 0.94375]",2.0,0,NO,151.0,XGBoost
"[153.16, 0.95725]",2.0,0,NO,153.16,RoundRobin
"[175.4, 1.09625]",2.0,0,NO,175.4,RoundRobin
"[146.68, 0.91675]",2.0,0,NO,146.68,XGBoost
"[76.46, 0.95575]",0.0,1,YES,76.46,XGBoost
"[76.88, 0.961]",0.0,1,YES,76.88,XGBoost
"[98.19, 1.227375]",0.0,1,YES,98.19,FCFS
"[149.92, 0.937]",2.0,0,NO,149.92,FCFS
"[145.245, 1.210375]",1.0,0,NO,145.245,RoundRobin
"[50, 6428, 51, 16, 3]",0.0,1,YES,6.71,Original
"[169.2, 1.0575]",2.0,1,YES,169.2,XGBoost
"[180.3, 1.126875]",2.0,0,NO,180.3,FCFS
"[90.26, 1.12825]",0.0,1,YES,90.26,FCFS
"[165.36, 1.0335]",2.0,1,YES,165.36,XGBoost
"[98.83, 1.235375]",0.0,1,YES,98.83,RoundRobin
"[199.32, 1.24575]",2.0,1,YES,199.32,XGBoost
"[167.8, 1.04875]",2.0,0,NO,167.8,FCFS
"[133.215, 1.110125]",1.0,0,NO,133.215,FCFS
"[90.54, 1.13175]",0.0,1,YES,90.54,XGBoost
"[98.78, 1.23475]",0.0,1,YES,98.78,XGBoost
"[93, 3999, 81, 12, 2]",1.0,1,YES,3.11,Original
"[195.34, 1.220875]",2.0,0,NO,195.34,RoundRobin
"[143.18, 0.894875]",2.0,0,NO,143.18,RoundRobin
"[75.4, 0.9425]",0.0,1,YES,75.4,XGBoost
"[93.48, 1.1685]",0.0,1,YES,93.48,XGBoost
"[99.23, 1.240375]",0.0,1,YES,99.23,XGBoost
"[185.58, 1.159875]",2.0,0,NO,185.58,RoundRobin
"[87.98, 1.09975]",0.0,1,YES,87.98,RoundRobin
"[148.56, 1.238]",1.0,0,NO,148.56,FCFS
"[105.96, 0.883]",1.0,0,NO,105.96,FCFS
"[149.055, 1.242125]",1.0,0,NO,149.055,FCFS
"[197.0, 1.23125]",2.0,0,NO,197.0,RoundRobin
"[78.32, 0.979]",0.0,1,YES,78.32,RoundRobin
"[157.12, 0.982]",2.0,0,NO,157.12,FCFS
"[91.39, 1.142375]",0.0,1,YES,91.39,XGBoost
"[198.42, 1.240125]",2.0,0,NO,198.42,FCFS
"[148.005, 1.233375]",1.0,0,NO,148.005,RoundRobin
"[71.16, 0.8895]",0.0,1,YES,71.16,FCFS
"[46, 15226, 51, 8, 2]",0.0,1,YES,5.34,Original
"[195.34, 1.220875]",2.0,0,NO,195.34,FCFS
"[64, 15431, 88, 4, 3]",1.0,1,YES,1.78,Original
"[89.85, 1.123125]",0.0,1,YES,89.85,RoundRobin
"[138.195, 1.151625]",1.0,0,NO,138.195,FCFS
"[53, 12980, 49, 27, 3]",0.0,1,YES,6.46,Original
"[71.73, 0.896625]",0.0,1,YES,71.73,XGBoost
"[74.26, 0.92825]",0.0,1,YES,74.26,XGBoost
"[147.34, 0.920875]",2.0,0,NO,147.34,FCFS
"[147.48, 1.229]",1.0,0,NO,147.48,RoundRobin
"[163.82, 1.023875]",2.0,1,YES,163.82,XGBoost
"[181.36, 1.1335]",2.0,0,NO,181.36,RoundRobin
"[160.96, 1.006]",2.0,0,NO,160.96,FCFS
"[195.26, 1.220375]",2.0,0,NO,195.26,RoundRobin
