StateVec,Action,Reward,SLAMet,CPUCost,Source,NextState,Done
"[134.13, 1.11775, 0.0, 0.0, 0.0]",1.0,0,NO,134.13,RoundRobin,"[134.13, 1.11775, 0.0, 0.0, 0.0]",False
"[131.985, 1.099875, 0.0, 0.0, 0.0]",1.0,0,NO,131.985,RoundRobin,"[131.985, 1.099875, 0.0, 0.0, 0.0]",False
"[84.17, 1.052125, 0.0, 0.0, 0.0]",0.0,1,YES,84.17,RoundRobin,"[84.17, 1.052125, 0.0, 0.0, 0.0]",False
"[132.96, 1.108, 0.0, 0.0, 0.0]",1.0,0,NO,132.96,RoundRobin,"[132.96, 1.108, 0.0, 0.0, 0.0]",False
"[172.02, 1.075125, 0.0, 0.0, 0.0]",2.0,0,NO,172.02,FCFS,"[172.02, 1.075125, 0.0, 0.0, 0.0]",False
"[108.45, 0.90375, 0.0, 0.0, 0.0]",1.0,0,NO,108.45,RoundRobin,"[108.45, 0.90375, 0.0, 0.0, 0.0]",False
"[196.04, 1.22525, 0.0, 0.0, 0.0]",2.0,0,NO,196.04,RoundRobin,"[196.04, 1.22525, 0.0, 0.0, 0.0]",False
"[131.385, 1.094875, 0.0, 0.0, 0.0]",1.0,0,NO,131.385,RoundRobin,"[131.385, 1.094875, 0.0, 0.0, 0.0]",False
"[93.16, 1.1645, 0.0, 0.0, 0.0]",0.0,1,YES,93.16,XGBoost,"[93.16, 1.1645, 0.0, 0.0, 0.0]",False
"[109.86, 0.9155, 0.0, 0.0, 0.0]",1.0,0,NO,109.86,FCFS,"[109.86, 0.9155, 0.0, 0.0, 0.0]",False
"[161.74, 1.010875, 0.0, 0.0, 0.0]",2.0,0,NO,161.74,RoundRobin,"[161.74, 1.010875, 0.0, 0.0, 0.0]",False
"[96.57, 1.207125, 0.0, 0.0, 0.0]",0.0,1,YES,96.57,FCFS,"[96.57, 1.207125, 0.0, 0.0, 0.0]",False
"[126.075, 1.050625, 0.0, 0.0, 0.0]",1.0,0,NO,126.075,RoundRobin,"[126.075, 1.050625, 0.0, 0.0, 0.0]",False
"[180.48, 1.128, 0.0, 0.0, 0.0]",2.0,0,NO,180.48,FCFS,"[180.48, 1.128, 0.0, 0.0, 0.0]",False
"[70.59, 0.882375, 0.0, 0.0, 0.0]",0.0,1,YES,70.59,XGBoost,"[70.59, 0.882375, 0.0, 0.0, 0.0]",False
"[191.96, 1.19975, 0.0, 0.0, 0.0]",2.0,0,NO,191.96,FCFS,"[191.96, 1.19975, 0.0, 0.0, 0.0]",False
"[186.8, 1.1675, 0.0, 0.0, 0.0]",2.0,0,NO,186.8,FCFS,"[186.8, 1.1675, 0.0, 0.0, 0.0]",False
"[171.74, 1.073375, 0.0, 0.0, 0.0]",2.0,1,YES,171.74,XGBoost,"[171.74, 1.073375, 0.0, 0.0, 0.0]",False
"[141.03, 1.17525, 0.0, 0.0, 0.0]",1.0,0,NO,141.03,FCFS,"[141.03, 1.17525, 0.0, 0.0, 0.0]",False
"[74.12, 0.9265, 0.0, 0.0, 0.0]",0.0,1,YES,74.12,FCFS,"[74.12, 0.9265, 0.0, 0.0, 0.0]",False
"[159.22, 0.995125, 0.0, 0.0, 0.0]",2.0,0,NO,159.22,FCFS,"[159.22, 0.995125, 0.0, 0.0, 0.0]",False
